454 1196
7234391442 -82.5191016 40.0680652
5999570838 -82.5174297 40.07582
198409938 -82.5203367 40.0702502
7933475790 -82.5229743 40.0675293
198548549 -82.5165258 40.0701142
6757578055 -82.5240135 40.0738307
8133093053 -82.5234667 40.0681891
8317358606 -82.5213949 40.0752805
3894635429 -82.5267501 40.0716189
7234367438 -82.5284411 40.068428
8133088563 -82.5234754 40.0680986
3894630236 -82.5253717 40.0714017
198269609 -82.5189941 40.0742233
5999570839 -82.5165461 40.0755907
3894635949 -82.5253068 40.0725503
11331352908 -82.5115169 40.0779361
3894626038 -82.5236941 40.071846
198373734 -82.523438 40.0693668
7234367411 -82.5252627 40.0681584
7234391439 -82.518534 40.0678671
11329562521 -82.5100894 40.0792039
3894630219 -82.5251861 40.0710971
3894630221 -82.5255374 40.0713698
7234367454 -82.5264541 40.0680704
198551738 -82.5251789 40.0728973
11329468176 -82.5185634 40.0683205
198269740 -82.5199802 40.0739238
198262337 -82.5277213 40.0732741
11329447555 -82.5187205 40.068484
198356009 -82.521212 40.077365
9365635969 -82.53058 40.0781895
11329447568 -82.5186237 40.0683991
8040850747 -82.5228742 40.0731528
6829774069 -82.5161631 40.0681855
8654444845 -82.5156266 40.0713296
9365640221 -82.5188174 40.0712654
11983510770 -82.5181643 40.0680256
3894654171 -82.5246791 40.0690957
4256589565 -82.5234472 40.0690765
11329447556 -82.5187242 40.0684513
8137726009 -82.5249072 40.0733812
11329468215 -82.5194146 40.0687788
8137815404 -82.5191457 40.0681057
8137815384 -82.5211432 40.0713229
9365619863 -82.519143 40.0741823
6956911693 -82.5191006 40.0719892
8317381123 -82.5217729 40.075888
9714437204 -82.5276174 40.0742146
8314099101 -82.525472 40.0759101
3894644544 -82.5251867 40.0716041
198469297 -82.5284915 40.06653
198366299 -82.522673 40.070789
7234367536 -82.5235282 40.0682971
7234367539 -82.5223973 40.0691348
9365636000 -82.5223883 40.0775734
198655353 -82.524034 40.0738962
9047700615 -82.5281039 40.0722354
7655406259 -82.5191052 40.0763395
3894630215 -82.5236492 40.0709586
5506729666 -82.5236145 40.0674122
7933485248 -82.5209072 40.0774417
5546400188 -82.5187831 40.0708527
11329468222 -82.5192006 40.0686948
357506132 -82.523215 40.0711747
3894645102 -82.5252592 40.0706723
198519708 -82.5252096 40.068245
198348032 -82.5264765 40.0729818
4256589577 -82.5241599 40.0703638
198512576 -82.5183289 40.0690831
7933475788 -82.5229745 40.0679637
7991949374 -82.5188764 40.074066
198554357 -82.5204209 40.065081
3894641831 -82.5254305 40.0708495
7019373489 -82.5183869 40.0683705
3894644530 -82.527877 40.0719186
3894630232 -82.5253753 40.0715331
9047436998 -82.5208161 40.067389
7234367504 -82.5219748 40.0681048
7234367521 -82.5202924 40.067963
198348038 -82.5251461 40.0725467
3894654170 -82.5218952 40.0682008
450619658 -82.516944 40.086262
2305177560 -82.5271802 40.0696933
8137726008 -82.5250376 40.0734882
7128709826 -82.5187013 40.0681202
5546400187 -82.5188351 40.0708161
198356023 -82.519176 40.07735
3894630223 -82.5254108 40.0715563
9365640184 -82.5178764 40.0725151
8133097179 -82.5164911 40.0680863
11329265987 -82.517704 40.0680619
8133088564 -82.52273 40.0681475
11331369997 -82.5145343 40.0781114
8133088565 -82.5235455 40.0681024
7234367414 -82.5251093 40.0683507
7234374850 -82.5229743 40.0682644
6847572629 -82.5193734 40.0767819
198356010 -82.521037 40.077409
198636852 -82.525078 40.0723565
198558160 -82.5195817 40.0679243
5803664456 -82.5195634 40.0680838
9365636014 -82.518197 40.074455
11329468214 -82.5195429 40.0687859
3894641830 -82.5255849 40.070897
198409953 -82.5198348 40.070953
6956911688 -82.5184619 40.0727411
4256592590 -82.5251358 40.0710919
7234296667 -82.5235576 40.0679964
11329265998 -82.5186234 40.0685183
3894630224 -82.5255741 40.0713884
198625971 -82.5270061 40.0699462
